pic_id,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
51948909703,Canon,Canon IXUS 145,3.2,Manual,200.0,Multi-segment,"Auto, Did not fire",5.7,Uncalibrated,EF-S18-55mm f/3.5-5.6 IS II
51945530206,Canon,Canon IXUS 145,3.2,Manual,200.0,Multi-segment,"Auto, Did not fire",5.7,sRGB,EF-S18-55mm f/3.5-5.6 IS II
51945501401,FUJIFILM,X-T3,5.6,Aperture-priority AE,800.0,Multi-segment,No Flash,88.2,sRGB,XF18-135mmF3.5-5.6R LM OIS WR
6325785041,NIKON CORPORATION,NIKON D90,4.0,Aperture-priority AE,250.0,Multi-segment,No Flash,46.0,Uncalibrated,17.0-50.0 mm f/2.8
4292821025,Canon,Canon EOS DIGITAL REBEL XSi,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,17.0-50.0 mm f/2.8
51948909703,Canon,Canon EOS DIGITAL REBEL XSi,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,17.0-50.0 mm f/2.8
51945530206,Canon,Canon EOS DIGITAL REBEL XSi,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,17.0-50.0 mm f/2.8
51945501401,FUJIFILM,X-T3,5.6,Aperture-priority AE,800.0,Multi-segment,No Flash,88.2,sRGB,XF18-135mmF3.5-5.6R LM OIS WR
51944935848,NIKON CORPORATION,NIKON D5600,5.6,Manual,400.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,XF18-135mmF3.5-5.6R LM OIS WR
51941404516,NIKON CORPORATION,NIKON D5600,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",300.0,sRGB,XF18-135mmF3.5-5.6R LM OIS WR
51941193889,Canon,Canon EOS R5,9.0,Manual,100.0,Multi-segment,No Flash,25.0,sRGB,EF16-35mm f/4L IS USM
51938553707,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF16-35mm f/4L IS USM
51939748500,NIKON CORPORATION,NIKON D7000,5.6,Manual,100.0,Multi-segment,"Off, Did not fire",100.0,sRGB,70.0-300.0 mm f/4.0-5.6
51935941485,NIKON CORPORATION,NIKON D5600,6.3,Manual,400.0,Multi-segment,"Off, Did not fire",155.0,sRGB,70.0-300.0 mm f/4.0-5.6
51933120167,Apple,iPhone 12 Pro,2.0,Program AE,25.0,Multi-segment,"Off, Did not fire",6.0,Uncalibrated,iPhone 12 Pro back triple camera 6mm f/2
51930906747,HUAWEI,CLT-L04,2.0,Program AE,25.0,Multi-segment,"Off, Did not fire",6.0,sRGB,iPhone 12 Pro back triple camera 6mm f/2
51927993127,Canon,Canon EOS R5,5.6,Manual,1600.0,Multi-segment,No Flash,400.0,Uncalibrated,EF100-400mm f/4.5-5.6L IS II USM
51926788722,samsung,SM-A526B,1.8,Program AE,25.0,Center-weighted average,No Flash,5.2,sRGB,EF100-400mm f/4.5-5.6L IS II USM
51927032631,Canon,Canon EOS R5,13.0,Bulb,100.0,Multi-segment,No Flash,25.0,Uncalibrated,EF16-35mm f/4L IS USM
51924023124,Panasonic,DMC-FZ200,3.5,Manual,100.0,Multi-segment,"Off, Did not fire",7.4,sRGB,EF16-35mm f/4L IS USM
51923569473,NIKON CORPORATION,NIKON D5600,7.1,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF16-35mm f/4L IS USM
51920956524,Canon,Canon EOS 90D,6.3,Shutter speed priority AE,320.0,Center-weighted average,No Flash,240.0,sRGB,EF-S55-250mm f/4-5.6 IS II
51916201112,FUJIFILM,X-T1,5.6,Program AE,200.0,Multi-segment,"Off, Did not fire",24.3,sRGB,XF18-55mmF2.8-4 R LM OIS
51917162006,NIKON CORPORATION,NIKON D7100,2.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",85.0,sRGB,85.0 mm f/1.8
51917149921,FUJIFILM,X-T1,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",18.8,sRGB,XF18-55mmF2.8-4 R LM OIS
51915763708,FUJIFILM,X-T1,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",55.0,sRGB,XF18-55mmF2.8-4 R LM OIS
51914435170,FUJIFILM,X-T1,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",55.0,sRGB,XF18-55mmF2.8-4 R LM OIS
51913773051,NIKON CORPORATION,NIKON D7100,1.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",85.0,sRGB,85.0 mm f/1.8
51912770477,FUJIFILM,X-T1,7.1,Program AE,200.0,Multi-segment,"Off, Did not fire",32.9,sRGB,XF18-55mmF2.8-4 R LM OIS
51914050760,NIKON CORPORATION,NIKON D7100,2.5,Aperture-priority AE,125.0,Multi-segment,"Off, Did not fire",85.0,sRGB,85.0 mm f/1.8
51913955315,FUJIFILM,X-T1,10.0,Program AE,400.0,Multi-segment,"Off, Did not fire",55.0,sRGB,XF18-55mmF2.8-4 R LM OIS
51912597260,FUJIFILM,X-T1,6.4,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",18.0,sRGB,XF18-55mmF2.8-4 R LM OIS
51911193138,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,XF18-55mmF2.8-4 R LM OIS
51905276049,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,XF18-55mmF2.8-4 R LM OIS
51902116437,Canon,Canon EOS 90D,5.6,Shutter speed priority AE,100.0,Center-weighted average,No Flash,250.0,sRGB,EF-S55-250mm f/4-5.6 IS II
51901204264,Canon,Canon EOS 7D Mark II,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM
51901527565,Canon,Canon EOS 7D Mark II,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM
51900577883,Apple,iPhone 12 Pro,1.6,Program AE,80.0,Multi-segment,"Off, Did not fire",4.2,Uncalibrated,iPhone 12 Pro back triple camera 4.2mm f/1.6
51899666508,FUJIFILM,FinePix HS20EXR,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",4.2,sRGB,iPhone 12 Pro back triple camera 4.2mm f/1.6
51898049442,Canon,Canon EOS 90D,9.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,48.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
51896689228,Panasonic,DMC-FZ200,3.5,Manual,200.0,Spot,"Off, Did not fire",108.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
51891420597,NIKON CORPORATION,NIKON D5600,6.0,Manual,400.0,Multi-segment,"Off, Did not fire",155.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
51891637695,NIKON CORPORATION,NIKON D5600,4.2,Manual,1600.0,Multi-segment,"Off, Did not fire",38.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
51889988812,NIKON CORPORATION,NIKON D610,10.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",14.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
51890990215,Canon,Canon EOS 7D Mark II,4.0,Aperture-priority AE,1600.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM
51889575549,NIKON CORPORATION,NIKON D5600,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",40.0,sRGB,EF500mm f/4L IS USM
51888238941,Canon,Canon EOS 90D,11.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,25.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
51887019364,Canon,Canon EOS 7D Mark II,5.6,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM
51887348935,Canon,Canon EOS 7D Mark II,5.0,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM
51882949784,HUAWEI,CLT-L04,5.0,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",500.0,Uncalibrated,EF500mm f/4L IS USM
51881812031,NIKON CORPORATION,NIKON D5600,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF500mm f/4L IS USM
51876233491,NIKON CORPORATION,NIKON D5600,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF500mm f/4L IS USM
51863876632,NIKON CORPORATION,NIKON D5600,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF500mm f/4L IS USM
